userName,score,at,content,app_name
Nick Lo,1,2024-05-23 04:55:59,"This is for your intrusive ads on my fav game. Everytime I clicked ""x"" on your ad and failed to close it and instead it open my tokopedia app, I will update this review. ....to still one star. How many times this has happened: 20",Tokopedia
SHAHBAZ SAIFI,5,2024-05-23 03:45:19,This is the world no 1 best online order place and I really love this place and every item are very low price available in this app and website ❤️❤️❤️❤️🥰🥰🥰🥰,Alibaba
Chuck Ackermann,5,2024-05-23 03:32:10,Great easy to use interface,Alibaba
Kiranadnan Bia,5,2024-05-23 03:07:45,it is very useful app and very easy to buy anything...every product is here..I buy house hold things and for my daily used things,Lazada
Safzath Ali,5,2024-05-23 02:27:49,"Shopee App is user-friendly, offers great deals, highly recommended!",Shopee
fenny ramadhiana,5,2024-05-23 01:33:22,Trusted online store. My favorite feature is many filter option. Return policy also easier than other store,Zalora
dexter jay chua,1,2024-05-22 23:27:33,"Updated for WORST always getting out in the app all i thought when you update for better but its not it's for garbage whoever is your developers fired him immediately because this might be your downfall and lose of profit. I'll try to search new app online... Lag, errora nd many things more no more space of describing on update",Lazada
Alissa Ward,4,2024-05-22 22:54:16,"It's so so cheap and they have the cutest stuff, but it's a little confusing to use at first.",Alibaba
daudy rockiano,5,2024-05-22 22:12:27,"Has been shopping with Zalora for years. Guarantee authentic product is the main reason. However, it might be better to have 'chat with seller' feature. Especially to check on shipment arrangement. Some sellers shipped on next working day, some are not.",Zalora
Ms. Harley,5,2024-05-22 16:08:23,The products are top tier and they are affordable and cheap...I'm really impressed with their policies... it's an intriguing website...and there's no need to worry about scammers or thieves because the Payment is encrypted and non accessible.. and refunds are probable.,Alibaba
Hezeckiel Harawa,5,2024-05-22 15:09:30,"Amazing, but consider putting shipping fees",Alibaba
andri hapsoro,5,2024-05-22 13:54:51,best for shopping and paying daily bills,Blibli
Marry Kusuma,1,2024-05-22 13:52:35,"Newest version has no improvement on performance. Apps becomes so slow after few min searching on the products and I need to kill it in order for my phone to work properly. Searching algorithm needs to be improved, many unrelated products displayed New rules for seller are unfair and needs to be deleted",Shopee
Abraham Isaic Ben Abraham Yahuda,5,2024-05-22 12:34:09,"Compared to eBay, Wish, etc excellent products",Alibaba
Geovan Nugroho,2,2024-05-22 11:52:01,This app is too heavy. if I search an item it takes several seconds to load in and if I scroll down it will lag. but if this app fixed maybe I'll give an 5 star and I will support shoppe.,Shopee
Laika Gita Ramadhani,5,2024-05-22 10:16:37,The application is good Because the goods I ordered arrived quickly. Even though it's on a different island,Shopee
Neng Valenzuela,1,2024-05-22 09:28:56,The items are supposed to be a gift from my daughter. But I am so disappointed the bags I received are really questionable. It's not an original Guess back pack. The other one I have to make another look. It's for my other daughter. She needs to see it for herself. I am so disgusted.,Zalora
Raymond D,4,2024-05-22 09:18:50,app takes too long to load and operate.,Shopee
Rodencio Salunga,5,2024-05-22 08:39:36,"Very fast service or delivery. I always received what I ordered in good condition,in short I am satisfied. Keep up the good job LAZADA.",Lazada
Aya Ragab,1,2024-05-22 07:35:32,"The badest experience I have ever had with this site ,they are not protecting customer even you paid through them and they are not applying any trade assurance ,you will lose your money if you trusted this application",Alibaba
Amarilis Resto,2,2024-05-22 05:53:27,You could no longer set a default payment option if you we're to open a ShopeePay account. it keep defaulting to that payment method which is super annoying if u pay mostly with Bank,Shopee
Brian,1,2024-05-22 05:52:19,"Giving me a choice between update or quit, when a few hours ago I could still use the app just fine.",Tokopedia
Mark Anthony Malabanan,1,2024-05-22 05:33:33,VERY INSTRUSIVE notifications when using the app and they disabled my lazrewards from watching videos. No longer my go to for finding great deals....shopee is king now They removed the features that can compete with shopee. And lazada replied in vietnamese in my review?? Good job Lazada!!,Lazada
Reynard Paolo Roque,1,2024-05-22 04:10:17,"Customer service is hard to reach. All chatbot. If you are return the item, the hub available is very far. I asked the riders and the hub where they pickup is just a kilometer away.",Lazada
Viera Mlfy,3,2024-05-22 03:52:09,"When I ordered it, it was already listed on the 22nd and now it has been changed to the 24th for delivery, oh come on, i used it a few more days",Shopee
R Jetton,1,2024-05-22 03:47:24,"It's a lot of work , the shipping is very expensive, customer satisfaction is not a priority. Once your money is paid, well, good luck...",Alibaba
Edwin Pavo,1,2024-05-22 03:30:11,"terrible if theres 0 star i would diffenately select it ,in just one cancelled order ,all the orders did not push through...shoppee is better and fast.",Lazada
samuel maina,4,2024-05-22 00:26:43,It's great!!!perfect description and good taste in regards to first choice entry,Alibaba
FRANTIC Dude,5,2024-05-22 00:00:07,I've been using this app for several years now. I find it easy to search and order for a particular item that is not available on physical store. Easy to Use! The best feature of this platform is their LazPayLater which very useful for me. But i think it's best if they go back to the time when there's no charge if you pay a month later. I also love how easy for us to return and get refund for the items that is defective.,Lazada
Rommel,2,2024-05-21 18:58:01,"Could be improved. At the product page, price was lower but when you check out the price in now different without knowing why. Ease of using voucher was way simple on shopee. Too many useless pop-ups.",Lazada
Sandhya Shrestha,4,2024-05-21 16:55:23,Very good luck with the new year and the new job search was great for you,Alibaba
Betty Kirkham,5,2024-05-21 15:50:29,It has a wide variety of products. Prices are very competitive.,Alibaba
rolando sopmac,5,2024-05-21 11:03:44,"very helpful and convenient store.it is to search what I need.but please, be honest whether the item that are included in every catalog is genuine or China made.",Lazada
Pekasamku,1,2024-05-21 10:49:51,"Otherwise, I want it like this, so all I want to download is the wrong phone. Bengong",Zalora
Myo Myint Maw (Isaac),1,2024-05-21 09:04:09,The best place to buy the low quality products with no quality assurance. I've bought from many online shopping platforms but this is the worst one I've seen in my entire life. This app shouldn't even be able to be downloaded by anyone. The worst platform to buy.,Lazada
Dien Hanum Gayatri,5,2024-05-21 08:53:37,bli bli easy to use and friendly with payment method,Blibli
Nurike Wigustya,3,2024-05-21 08:39:46,"for buyer shopee is very good.. but for seller many policy tends detrimental to sellers, for example when buyer order shipping via shopee agent and buyer doesn't accept the item, the item didn't return to seller.. it lost",Shopee
Girly gray058,2,2024-05-21 07:14:35,"Your Bot just makes things more annoying, why remove the cancel button on my orders even if the seller is yet to pack the order? It wouldn't go to my return and cancellations and it's been 2 hours. I usually don't have problem with the app but ever since the bot thing came it just makes things more difficult.",Lazada
Dexter Pang,3,2024-05-21 05:30:05,The phantom touch issue at the coin discount deals page is awful. Keeps tapping me onto random items when all i did was just scrolling. Both my Poco F3 and Samsung A54 exprience this issue. Please solve this it's making the app unusable.,Lazada
Patrick Nikko Esteybar,1,2024-05-21 03:57:08,Please don't partner with Flash Express. It's not express. It's a delay.,Lazada
SHOBAN BABU S (SHOBAN),1,2024-05-21 02:22:47,Very Slow Takes one month to deliver the product some product still pending. App auto suggest to cancel and refund Always app failure to connect chat with agent.,Lazada
Lourdes Carganilla,5,2024-05-21 00:02:36,"Highly recommended app for online shopping easy to use, many vouchers and discount to used. You can also win lazada wallet credits, items and vouchers by joining at lazlive and games.",Lazada
Wea boo,1,2024-05-20 23:37:50,"Locked out of my account. No way of contacting support, in order to contact support you must be logged in which i can't because it requires you to scan a qr code and the device i'm trying to log in from is the same device they demand the qr code from.",Shopee
Emmanuel Mantey,3,2024-05-20 20:05:33,I am a new customer and i have been seeing other delivery apps but i did not like them because they were not easy to order when I downloaded this app its really good.,Alibaba
Shane Tellis,5,2024-05-20 18:57:12,Awesome variety of products and suppliers.,Alibaba
Julyana,1,2024-05-20 16:56:21,Creepers and the-likes make you wonder what exactly are they selling. Not reliable.,OLX
Fawaz Baksh,5,2024-05-20 16:38:10,It's very easy to use and understand able,Alibaba
arizkun.,1,2024-05-20 14:52:49,"I've used this app for more than 5 years, the recent update is upsetting me. You can't strictly search the item that you want, as there will be millions of items that ""you might like"" or closely named. I also noticed that they've removed the ""exclude words"" or whatever that is, resulting in longer searching time for the item. Please revert the update back, as this feature is what I (and perhaps others) was looking for when choosing a marketplace.",Tokopedia
Maxime Jean mary,4,2024-05-20 13:19:33,"I like Alibaba , I heard about him but, I never did experience with him. And now, I want to make experience to buy some products. They have good stuff, good quality and good prices.",Alibaba
John Doe,2,2024-05-20 10:57:29,"I can't access my lazada, I used to see the products before, and now it's all blank. Is not a good shopping site",Lazada
Irene Chinaemelum,4,2024-05-20 10:02:03,If it's easy buh it will help if am tutored on this things please how to place an order ship and make sales😔,Alibaba
aprilia zulvika,5,2024-05-20 09:44:26,"User friendly, so many items based on every needs",Shopee
Kim Barretto,1,2024-05-20 09:01:56,Absolute worse! It doesn't even show your orders upon placing it then it notifies you that your order has been cancelled and it turns out it's just 1 product that has been cancelled so you'll end up doubling your order. I wasn't even informed that everything else went through after receiving a cancelled notification. And what's worst is you can't even cancel it upon receiving a notification that it has been shipped. So you'll have to refuse it upon delivery. STRESS!!!,Lazada
Jewel therese Padigos,5,2024-05-20 07:54:51,I love this app😍😍 the choice is very cheap and tge other shop i got it 100+ and here in lazada choice i got it only 33 plus discount and itss only 13!! I lovee thiss veryy cheap and no damage completely 😍😍 i only ordered on choice onlyy!!!,Lazada
I A,1,2024-05-20 04:17:54,Why does Alibaba keep circulating previous searches every time i open the app with no way to remove it? Ridiculous,Alibaba
Judgement Throne,5,2024-05-20 03:27:56,Easy to navigate.but when you study the app well you can easily avoid ghost supplies.REALLY HELPFUL. BUSINESS PLATFORM FOR EVERYDAY AND BEST GOODS. THANKS YO THE CREATORS OF THIS APP. THANK YOU ALIBABA.,Alibaba
